Cuts,Setting,Value,Gap
1,FlowPathCuts,2,0.253
1,GUBCoverCuts,0,0.253
1,GUBCoverCuts,1,0.253
1,GUBCoverCuts,2,0.253
1,ImpliedCuts,0,0.253
1,ImpliedCuts,1,0.253
1,ImpliedCuts,2,0.253
1,InfProofCuts,0,0.253
1,InfProofCuts,1,0.253
1,InfProofCuts,2,0.253
1,LiftProjectCuts,0,0.253
1,LiftProjectCuts,1,0.253
1,LiftProjectCuts,2,0.253
1,MIPSepCuts,0,0.253
1,MIPSepCuts,1,0.253
1,MIPSepCuts,2,0.2776
1,MIRCuts,0,0.253
1,MIRCuts,1,0.253
1,MIRCuts,2,0.253
1,MixingCuts,0,0.253
1,MixingCuts,1,0.253
1,MixingCuts,2,0.253
1,ModKCuts,0,0.253
1,ModKCuts,1,0.253
1,ModKCuts,2,0.253
1,NetworkCuts,0,0.253
1,NetworkCuts,1,0.253
1,NetworkCuts,2,0.253
1,ProjImpliedCuts,0,0.253
1,ProjImpliedCuts,1,0.253
1,ProjImpliedCuts,2,0.253
1,PSDCuts,0,0.253
1,PSDCuts,1,0.253
1,PSDCuts,2,0.253
1,RelaxLiftCuts,0,0.253
1,RelaxLiftCuts,1,0.253
1,RelaxLiftCuts,2,0.253
1,RLTCuts,0,0.253
1,RLTCuts,1,0.253
1,RLTCuts,2,0.253
1,StrongCGCuts,0,0.253
1,StrongCGCuts,1,0.253
1,StrongCGCuts,2,0.253
1,SubMIPCuts,0,0.253
1,SubMIPCuts,1,0.253
1,SubMIPCuts,2,0.2954
1,ZeroHalfCuts,0,0.253
1,ZeroHalfCuts,1,0.253
1,ZeroHalfCuts,2,0.253
1,CutAggPasses,0,0.253
1,CutAggPasses,1,0.253
1,CutAggPasses,2,0.253
1,CutPasses,0,0.5036
1,CutPasses,1,0.2528
1,CutPasses,2,0.253
1,GomoryPasses,0,0.2535
1,GomoryPasses,1,0.253
1,GomoryPasses,2,0.253
2,None,N/A,0.7339
2,BQPCuts,0,0.7339
2,BQPCuts,1,0.7339
2,BQPCuts,2,0.7339
2,CliqueCuts,0,0.7339
2,CliqueCuts,1,0.7339
2,CliqueCuts,2,0.7339
2,CoverCuts,0,0.7135
2,CoverCuts,1,0.7339
2,CoverCuts,2,0.7339
2,FlowCoverCuts,0,0.7407
2,FlowCoverCuts,1,0.7339
2,FlowCoverCuts,2,0.7339
2,FlowPathCuts,0,0.7339
2,FlowPathCuts,1,0.7339
2,FlowPathCuts,2,0.7339
2,GUBCoverCuts,0,0.7339
2,GUBCoverCuts,1,0.7339
2,GUBCoverCuts,2,0.7339
2,ImpliedCuts,0,0.7339
2,ImpliedCuts,1,0.7339
2,ImpliedCuts,2,0.7339
