Cuts,Setting,Value,Gap
-1,None,N/A,0.6955
-1,BQPCuts,0,0.6955
-1,BQPCuts,1,0.6955
-1,BQPCuts,2,0.6955
-1,CliqueCuts,0,0.6955
-1,CliqueCuts,1,0.6955
-1,CliqueCuts,2,0.6955
-1,CoverCuts,0,0.6955
-1,CoverCuts,1,0.6955
-1,CoverCuts,2,0.6955
-1,FlowCoverCuts,0,0.6955
-1,FlowCoverCuts,1,0.6955
-1,FlowCoverCuts,2,0.6955
-1,FlowPathCuts,0,0.6955
-1,FlowPathCuts,1,0.6955
-1,FlowPathCuts,2,0.6955
-1,GUBCoverCuts,0,0.6955
-1,GUBCoverCuts,1,0.6955
-1,GUBCoverCuts,2,0.6955
-1,ImpliedCuts,0,0.6955
-1,ImpliedCuts,1,0.6955
-1,ImpliedCuts,2,0.6955
-1,InfProofCuts,0,0.6955
-1,InfProofCuts,1,0.6955
-1,InfProofCuts,2,0.6955
-1,LiftProjectCuts,0,0.6955
-1,LiftProjectCuts,1,0.6955
-1,LiftProjectCuts,2,0.6955
-1,MIPSepCuts,0,0.6955
-1,MIPSepCuts,1,0.6955
-1,MIPSepCuts,2,0.6955
-1,MIRCuts,0,0.6955
-1,MIRCuts,1,0.6955
-1,MIRCuts,2,0.6955
-1,MixingCuts,0,0.6955
-1,MixingCuts,1,0.6955
-1,MixingCuts,2,0.6955
-1,ModKCuts,0,0.6955
-1,ModKCuts,1,0.6955
-1,ModKCuts,2,0.6955
-1,NetworkCuts,0,0.6955
-1,NetworkCuts,1,0.6955
-1,NetworkCuts,2,0.6955
-1,ProjImpliedCuts,0,0.6955
-1,ProjImpliedCuts,1,0.6955
-1,ProjImpliedCuts,2,0.6955
-1,PSDCuts,0,0.6955
-1,PSDCuts,1,0.6955
-1,PSDCuts,2,0.6955
-1,RelaxLiftCuts,0,0.6955
-1,RelaxLiftCuts,1,0.6955
-1,RelaxLiftCuts,2,0.6955
-1,RLTCuts,0,0.6955
-1,RLTCuts,1,0.6955
-1,RLTCuts,2,0.6955
-1,StrongCGCuts,0,0.6955
-1,StrongCGCuts,1,0.6955
-1,StrongCGCuts,2,0.6955
-1,SubMIPCuts,0,0.6955
-1,SubMIPCuts,1,0.6955
-1,SubMIPCuts,2,0.6955
-1,ZeroHalfCuts,0,0.6955
-1,ZeroHalfCuts,1,0.6955
-1,ZeroHalfCuts,2,0.6955
-1,CutAggPasses,0,0.6955
-1,CutAggPasses,1,0.6955
-1,CutAggPasses,2,0.6955
-1,CutPasses,0,0.6941
-1,CutPasses,1,0.6955
-1,CutPasses,2,0.6955
-1,GomoryPasses,0,0.6955
-1,GomoryPasses,1,0.6955
-1,GomoryPasses,2,0.6955
0,None,N/A,0.6955
0,BQPCuts,0,0.6955
0,BQPCuts,1,0.6955
0,BQPCuts,2,0.6955
0,CliqueCuts,0,0.6955
0,CliqueCuts,1,0.6955
0,CliqueCuts,2,0.6955
0,CoverCuts,0,0.6955
0,CoverCuts,1,0.6955
0,CoverCuts,2,0.6955
0,FlowCoverCuts,0,0.6955
0,FlowCoverCuts,1,0.6955
0,FlowCoverCuts,2,0.6955
0,FlowPathCuts,0,0.6955
0,FlowPathCuts,1,0.6955
0,FlowPathCuts,2,0.6955
0,GUBCoverCuts,0,0.6955
0,GUBCoverCuts,1,0.6955
0,GUBCoverCuts,2,0.6955
0,ImpliedCuts,0,0.6955
0,ImpliedCuts,1,0.6955
0,ImpliedCuts,2,0.6955
0,InfProofCuts,0,0.6955
0,InfProofCuts,1,0.6955
0,InfProofCuts,2,0.6955
0,LiftProjectCuts,0,0.6955
0,LiftProjectCuts,1,0.6955
0,LiftProjectCuts,2,0.6955
0,MIPSepCuts,0,0.6955
0,MIPSepCuts,1,0.6955
0,MIPSepCuts,2,0.6955
0,MIRCuts,0,0.6955
0,MIRCuts,1,0.6955
0,MIRCuts,2,0.6955
0,MixingCuts,0,0.6955
0,MixingCuts,1,0.6955
0,MixingCuts,2,0.6955
0,ModKCuts,0,0.6955
0,ModKCuts,1,0.6955
0,ModKCuts,2,0.6955
0,NetworkCuts,0,0.6955
0,NetworkCuts,1,0.6955
0,NetworkCuts,2,0.6955
0,ProjImpliedCuts,0,0.6955
0,ProjImpliedCuts,1,0.6955
0,ProjImpliedCuts,2,0.6955
0,PSDCuts,0,0.6955
0,PSDCuts,1,0.6955
0,PSDCuts,2,0.6955
0,RelaxLiftCuts,0,0.6955
0,RelaxLiftCuts,1,0.6955
0,RelaxLiftCuts,2,0.6955
0,RLTCuts,0,0.6955
0,RLTCuts,1,0.6955
0,RLTCuts,2,0.6955
0,StrongCGCuts,0,0.6955
0,StrongCGCuts,1,0.6955
0,StrongCGCuts,2,0.6955
0,SubMIPCuts,0,0.6955
0,SubMIPCuts,1,0.6955
0,SubMIPCuts,2,0.6955
0,ZeroHalfCuts,0,0.6955
0,ZeroHalfCuts,1,0.6955
0,ZeroHalfCuts,2,0.6955
0,CutAggPasses,0,0.6955
0,CutAggPasses,1,0.6955
0,CutAggPasses,2,0.6955
0,CutPasses,0,0.6941
0,CutPasses,1,0.6955
